Donor,codename
SERVICE INT. POUR LES DROITS DE L HOMME,other
SERVICIO PAZ Y JUSTICIA,other
SE-SINAPRED,other
Sewa Development Trust Sindh,other
SHA/NRE,other
Shafaq Rehabilitation Organization (SHA),Other
Sharaja,other
SHARE,other
Share Association of Guatemala,other
Sharukhi Rehabilitation Project,other
Sharukhi Rehabilitation Project ,other
Shelter Centre,other
Sibro,other
SIG - Canton's Industrial Services - Geneve (CH),other
Siriri,other
Slavik,other
SNG,other
Social and Humanitarian Assistance Organization,other
Social Economical Environmental Developers ,other
Social Services Program,other
Society for Awareness and Change,other
"Society for Skills, Trainings & Development",other
Society for Sustainable Development,other
Society of Physically Handicapped People,other
SOHDO,other
Sølvberget,other
Somali Organic Agriculture Development Organization,other
Somalia Relive Centre,other
Somalischer Verein e.V.,other
Soryiat,other
SSA,other
SSB,other
SSDO - South Sudan Development Organisation,other
SST,other
St. Damien Hospital,other
Standard Action Liaison Focus,other
Star of Hope,other
STARH Project,other
"Stavanger kommune, Litteraturfestivalen Kapittel06",other
"Stavanger kommune, Sølvberget KF Bibl.og kul",other
STC SW,other
STCH,other
"Steenfeldt-Foss, O. W.",other
STEP Afghanistan,other
Steps InterNational,other
Stichting World Federalist Movement,other
Stiftelsen Menneskeret.Huset,other
Stiftelsen SOS Barnelandsbyer,other
Strømmestiftelsen - UD-tilskudd,other
Studentenes og Akademikernes Internasjonale Hjelpefond,other
Sub-Saharan InterNational Development Organization,other
SUKS - Schweizerisches Unterstützungskomitee für die Sahraouis,other
Support for Peace and Education Development Program,other
Survey Action Center,other
Sustainable Heath Development Centre,other
Swedish and Norwegian Ecumenical Accompaniment Programme in Palestine and Israel,other
Swedish Ecumenical Accompaniment Programme in Palestine and Israel,other
Swiss Foundation for Mine Action / Organisation for Security and Cooperation in Europe,other
SwissCor,other
SYRIA CAMPAIGN ,other
Tambanevana Children's Association,other
TASSAGHT,other
Tehreek,other
Temporary InterNational Presence in Hebron,other
TERREMOTO HAITI,other
Thai Tsunami Victim Identification Group,other
The Competitiveness,other
The Danish-Ethiopian Joint Initiative,other
The Family Centre,other
The Iraqi InterNational Association for Civil Society,other
The Living History Forum,other
The Norwegian Helsinki Committee,other
Todya Organization,other
Tørrlandskoordineringsgruppen ,other
Trans-Nzoia Socio-Economic Network,other
Treatment and Rehabilitation Centre,other
Tribal Reforms and Development Organization,other
Trickle  Up Program,other
Tromso Center for Mine Damages,other
UCODEP__298,other
UN Agencies and NGOs (details not yet provided),other
UN Agencies and Red Cross (details not yet provided),other
UN Agencies and Red Cross (details not yet provided) ,other
"UN Agencies, NGOs and Red Cross (details not yet provided)",other
Unallocated Pledges,other
Union Des Organisations Syrienne de Secours Medicaux,other
Union Nationale des Associations Diocesaines de Secours et Developpement,other
Union of Health Work Committees,other
UNITEC,other
United States Catholic Conference,other
Unspecified,other
UPR Info,other
Various (details not yet provided),other
Various Donors ,other
Various Donors (details not yet provided),other
Various Donors (private),other
Various Recipients (details not yet provided),other
VAS,other
VEH,other
VEH/HAD,other
Verein f. hum. Hilfe Vaduz,other
Vetwork Services Trust,other
VIC,other
Village Elders Group,other
VITALITE PLUS,other
Vitalité Plus,other
Voluntary Health Association of India,other
Volunteer Corpes-Greek Firemen Replanters,other
VsF (CH) / PACE,other
Wahdat Rehabilitation and Development Organization for Afghan Women,other
Wakachiai Project,other
Waltraud Torossian-Brigasky,other
WAM,other
Wamo Relief and Rehabilitation Services,other
Watan’s Social Technical Services Association,other
Water and Sanitation Consortium,other
We Effect,other
WFP and NGO Partners,other
WFP/SHA,other
Women's Evangelical Association of Bossangoa,other
WORLD ASSEMBLY OF MUSLIMS YOUTH,other
World Humanitarian Forum,other
Yayasan Ananda Marga Indonesia,other
Yayasan Dian Desa,other
Yemeni Social Reform Society,other
Youth Activity Organization,other
Youth Resource Centre,other
ZAF,other
ZAWD - Organization for Humanitarian and Development,other
Zukunft f. Kinder,other
Eli Lilly,Other 
CAN FOUNDATION,Other 
World Bank,Other multi
Asian Development Bank,Other multi
Council of Europe Development Bank,Other multi
Organization of American States,Other multi
Caribbean Development Bank,Other multi
European Investment Bank,Other multi
African Development Bank,Other multi
Organization for African Unity,Other multi
International Olympic Committee,Other multi
Inter-American Development Bank,Other multi
Andean Development Corporation,Other multi
Organization of Petroleum Exporting Countries Fund,Other multi
NaCSA/World Bank,Other multi
North Atlantic Treaty Organization,Other multi
Pacific Islands Forum,Other multi
South Pacific Applied Geoscience Commission,Other multi
Arab League,Other multi
Islamic Development Bank,Other multi
Asian Disaster Reduction Center,Other multi
African Union,Other multi
Organization for Security & Cooperation in Europe,Other multi
Asia Pacific Permanent Representatives' Spouses Group,Other multi
OPEC Fund for International Development,Other multi
Arab Authority for Agricultural Investment and Development,Other multi
Great Lakes Initiative Project HIV/AIDS,Other multi
Organisation of the Islamic Conference,Other multi
Islamic Edu. Scien. Cultural Org.,Other multi
Inter Américain de Coopération Agricole,Other multi
Intergov Authority on Development,Other multi
Economic Community of West African States,Other multi
Association of Southeast Asian Nations,Other multi
Southern African Development Community,Other multi
Intergovernmental Authority on Development,Other multi
International Organization for Migration,Other multi
Cooperation Andina de Fomento,Other multi
International Criminal Court,Other multi
African Union Mission in Somalia,Other multi
African Union Mission in Sudan,Other multi
African Union Mission in Sudan ,Other multi
Aid for Central Africa,Other multi
Allocation of unearmarked funds by IOM,Other multi
Arab Authority for Agricultural Investment and Development ,Other multi
Business and Professional Women Organization,Other multi
Caribbean Disaster Emergency Management Agency,Other multi
Caribbean Disaster Emergency Response Agency,Other multi
CARICOM Regional Development Programme,Other multi
Cluster Munition Coalition,Other multi
Commonwealth Secretariat,Other multi
Coordinating Committee for Coastal and Offshore Geo. Progr. in East Southeast Asia,Other multi
Corporacion andina de fomento ,Other multi
Danube Commission,Other multi
Desert Locust Control Organization for Eastern Africa,Other multi
EADRCC - Euro-Atlantic Disaster Response Coord.Centre,Other multi
EDF9,Other multi
EITI - Extractive Industry Transparency Initiative,Other multi
GLIA Initiative Project HIV/AIDS,Other multi
Global Facility for Disaster Risk Reduction,Other multi
Global Facility for Disaster Risk Reduction ,Other multi
Gulf Cooperation Council,Other multi
ICDO - InterNational Civil Defence Organisation ,Other multi
IHRA,Other multi
Inter Américain de Coopération Agricole ,Other multi
Intergov Authority on Development ,Other multi
Inter-Governmental Agency on Development,Other multi
InterNational Civil Defense Organisation,Other multi
InterNational Commission Against Impunity,Other multi
International Commission against the Death Penalty - ICDP,Other multi
InterNational Criminal Tribunal for Rwanda,Other multi
InterNational Humanitarian Partnership,Other multi
InterNational IDEA,Other multi
InterNational Institute for Democracy and Electoral Assistance - InterNational IDEA,Other multi
InterNational Security Assistance Force,Other multi
Mekong River Commission,Other multi
NATO / PfP,Other multi
New Ireland PDC,Other multi
OIP - Office of the Iraq Programme,Other multi
Organisation for Economic Co-operation and Development,Other multi
Partnership for Peace,Other multi
SCO,Other multi
The InterNational Barent secretary,Other multi
Tripartite Core Group,Other multi
Union of Sudan African Parties,Other multi
World Bank Group,Other multi
"Global Fund to Fight AIDS, Tuberculosis and Malaria",Other pooled
Africa Solidarity Trust Fund,Other pooled
Education Cannot Wait Fund,Other pooled
Multi-Donor Trust Fund for the Sudan,Other pooled
Multi-Donor Trust Fund for the Sudan South,Other pooled
Darfur Peace and Stability Fund,Other pooled
Ebola Response Multi-Partner Trust Fund,Other pooled
UN TF for Int'l Coop&Dev,Other pooled
Humanitarian Innovation Fund,Other pooled
EZINGO Central African Republic Multi-Partner Trust Fund,Other pooled
Afghan Reconstruction Trust Fund,Other pooled
Afghan Reconstruction Trust Fund ,Other pooled
ERF Recipients,Other pooled
Global Fund,Other pooled
Global Fund for TB/HIV/AIDS Programme,Other pooled
Multi-Donor Fund Facility for Disaster Recovery-Indonesia,Other pooled
Multi-Donor Trust Fund ,Other pooled
Multi-Donor Trust Fund for the Sudan ,Other pooled
Stabilization and Recovery Funding Facility in Eastern DRC,Other pooled
Private (individuals & organizations),private individual organisations
T. Kuroyanagi,private individual organisations
The General Assembly of Presbyterian Church in Korea,private individual organisations
Kim Seung-Jung,private individual organisations
Catholic Priest Association for Justice,private individual organisations
"Catholic Church, Germany",private individual organisations
Boston Archiepiscopal Diocese,private individual organisations
Catholic Mission,private individual organisations
Empress Shoken Fund,private individual organisations
Presbyterian Church of Korea,private individual organisations
BIJOU Trust,private individual organisations
Trust & Legacies,private individual organisations
Omidyar Fund,private individual organisations
Shinnyo-en,private individual organisations
Rissho Koseikai,private individual organisations
Church of Jesus Christ (Johannesburg),private individual organisations
The Church of Jesus Christ of Latter-Day Saints,private individual organisations
"Al-Aqsa Islamic Society, USA",private individual organisations
World Assembly of Muslim Youth,private individual organisations
ISLAMIC SHURA COUNCIL OF MICHIGAN,private individual organisations
Arab Medical Association,private individual organisations
BMO Financial Group,private individual organisations
Foresters,private individual organisations
Kuwaiti Social Reform Society,private individual organisations
Global Thematic Partners,private individual organisations
National Basketball Association,private individual organisations
National Football League,private individual organisations
EO Metterdaad,private individual organisations
"Frontiers, Ruwad Association",private individual organisations
World Mission Society Church of God,private individual organisations
Norwegian Aid Committee,private individual organisations
Latter-Day Saint Charities,private individual organisations
ST. ANDREWS SOCIETY,private individual organisations
Church Women Solidarity for Supporting North Korea Children,private individual organisations
Korean Church Federation of Support for North Korea,private individual organisations
Association of Major Superious of Religious Women in Korea,private individual organisations
Evangelical Development Programme,private individual organisations
Evangelical Fellowship of India Commission on Relief,private individual organisations
Association for People's Cooperation between South and North Korea,private individual organisations
Mission Aviation Fellowship,private individual organisations
Swedish Mission Council,private individual organisations
The Mission Covenant Church of Sweden,private individual organisations
Delta Development Program,private individual organisations
Les Amis du Liban,private individual organisations
Union of Relief Organizations – Lebanon,private individual organisations
Waqf Alghanem and Othman mosques,private individual organisations
Misereor,private individual organisations
Family Charitable Organisation,private individual organisations
National Council of Churches in Australia,private individual organisations
11.11.11 - Koepel van de Vlaamse Noord-Zuidbeweging vzw,private individual organisations
Active in Development Association,private individual organisations
Acumet Catholic Parish,private individual organisations
Afghan Technical Consultants,private individual organisations
Africa Centre for Holistic Management,private individual organisations
AGROCARE Community Development Association,private individual organisations
Alliance for International Medical Action,private individual organisations
American Bar Association,private individual organisations
American Jewish Joint Distribution Committee,private individual organisations
Anna Lininger,private individual organisations
Arab Physicians Federation,private individual organisations
Archdiocese of Kisumu,private individual organisations
Arche de l'Alliance,private individual organisations
Asian Network for Free Election,private individual organisations
Asmae Soeur Emmanuelle,private individual organisations
Associação Saúde em Português,private individual organisations
Associated Banc-Corp,private individual organisations
Association de Lutte Contre le Sida,private individual organisations
Association Fraternite Universelle,private individual organisations
Aweil Window of Opportunities and Development Agency,private individual organisations
BDC Anglican,private individual organisations
